         C++/CSIM Simulation Report (Version 20.0 for MS Visual C/C++)

                           Wed Dec 02 18:12:09 2015


                     Ending simulation time:      3660.000
                     Elapsed simulation time:     3660.000
                     CPU time used (seconds):      256.427


FACILITY SUMMARY 

facility     service    service          through-    queue     response   compl
name           disc      time    util.     put       length      time     count
--------------------------------------------------------------------------------
rSwitch0     fcfs       0.05000  0.052    1.03415    0.05899    0.05704     3785
   > server  0          0.05000  0.014    0.28142                           1030
   > server  1          0.05000  0.009    0.17486                            640
   > server  2          0.05000  0.006    0.11940                            437
   > server  3          0.05000  0.004    0.08197                            300
   > server  4          0.05000  0.003    0.06230                            228
   > server  5          0.05000  0.003    0.05055                            185
   > server  6          0.05000  0.002    0.04235                            155
   > server  7          0.05000  0.002    0.03443                            126
   > server  8          0.05000  0.001    0.02814                            103
   > server  9          0.05000  0.001    0.02432                             89
   > server 10          0.05000  0.001    0.02213                             81
   > server 11          0.05000  0.001    0.01940                             71
   > server 12          0.05000  0.001    0.01749                             64
   > server 13          0.05000  0.001    0.01639                             60
   > server 14          0.05000  0.001    0.01393                             51
   > server 15          0.05000  0.001    0.01148                             42
   > server 16          0.05000  0.000    0.00956                             35
   > server 17          0.05000  0.000    0.00902                             33
   > server 18          0.05000  0.000    0.00820                             30
   > server 19          0.05000  0.000    0.00683                             25
rSwitch1     fcfs       0.05000  0.057    1.13142    0.07083    0.06260     4141
   > server  0          0.05000  0.013    0.25601                            937
   > server  1          0.05000  0.008    0.16393                            600
   > server  2          0.05000  0.006    0.11749                            430
   > server  3          0.05000  0.004    0.08770                            321
   > server  4          0.05000  0.004    0.07158                            262
   > server  5          0.05000  0.003    0.05847                            214
   > server  6          0.05000  0.002    0.04863                            178
   > server  7          0.05000  0.002    0.04180                            153
   > server  8          0.05000  0.002    0.03798                            139
   > server  9          0.05000  0.002    0.03443                            126
   > server 10          0.05000  0.002    0.03197                            117
   > server 11          0.05000  0.001    0.02951                            108
   > server 12          0.05000  0.001    0.02678                             98
   > server 13          0.05000  0.001    0.02350                             86
   > server 14          0.05000  0.001    0.02049                             75
   > server 15          0.05000  0.001    0.01885                             69
   > server 16          0.05000  0.001    0.01749                             64
   > server 17          0.05000  0.001    0.01612                             59
   > server 18          0.05000  0.001    0.01448                             53
   > server 19          0.05000  0.001    0.01421                             52
