         C++/CSIM Simulation Report (Version 20.0 for MS Visual C/C++)

                           Wed Dec 02 19:28:57 2015


                     Ending simulation time:      3660.000
                     Elapsed simulation time:     3660.000
                     CPU time used (seconds):      274.155


FACILITY SUMMARY 

facility     service    service          through-    queue     response   compl
name           disc      time    util.     put       length      time     count
--------------------------------------------------------------------------------
rSwitch0     fcfs       0.05000  0.207    4.13142    0.62949    0.15237    15121
   > server  0          0.05000  0.015    0.30656                           1122
   > server  1          0.05000  0.013    0.26038                            953
   > server  2          0.05000  0.012    0.24372                            892
   > server  3          0.05000  0.012    0.23443                            858
   > server  4          0.05000  0.011    0.22678                            830
   > server  5          0.05000  0.011    0.22322                            817
   > server  6          0.05000  0.011    0.21639                            792
   > server  7          0.05000  0.011    0.21175                            775
   > server  8          0.05000  0.010    0.20628                            755
   > server  9          0.05000  0.010    0.20355                            745
   > server 10          0.05000  0.010    0.20109                            736
   > server 11          0.05000  0.010    0.19617                            718
   > server 12          0.05000  0.010    0.19126                            700
   > server 13          0.05000  0.009    0.18661                            683
   > server 14          0.05000  0.009    0.18197                            666
   > server 15          0.05000  0.009    0.17678                            647
   > server 16          0.05000  0.009    0.17104                            626
   > server 17          0.05000  0.008    0.16721                            612
   > server 18          0.05000  0.008    0.16421                            601
   > server 19          0.05000  0.008    0.16202                            593
rSwitch1     fcfs       0.05000  0.107    2.14454    0.21613    0.10078     7849
   > server  0          0.05000  0.013    0.26749                            979
   > server  1          0.05000  0.010    0.19481                            713
   > server  2          0.05000  0.008    0.16175                            592
   > server  3          0.05000  0.007    0.13388                            490
   > server  4          0.05000  0.006    0.12322                            451
   > server  5          0.05000  0.006    0.11667                            427
   > server  6          0.05000  0.005    0.10765                            394
   > server  7          0.05000  0.005    0.10109                            370
   > server  8          0.05000  0.005    0.09590                            351
   > server  9          0.05000  0.005    0.09153                            335
   > server 10          0.05000  0.004    0.08880                            325
   > server 11          0.05000  0.004    0.08497                            311
   > server 12          0.05000  0.004    0.08279                            303
   > server 13          0.05000  0.004    0.07978                            292
   > server 14          0.05000  0.004    0.07623                            279
   > server 15          0.05000  0.004    0.07322                            268
   > server 16          0.05000  0.003    0.06967                            255
   > server 17          0.05000  0.003    0.06639                            243
   > server 18          0.05000  0.003    0.06503                            238
   > server 19          0.05000  0.003    0.06366                            233
