         C++/CSIM Simulation Report (Version 20.0 for MS Visual C/C++)

                           Thu Dec 10 22:37:42 2015


                     Ending simulation time:      3698.153
                     Elapsed simulation time:     3698.153
                     CPU time used (seconds):      784.605


FACILITY SUMMARY 

facility     service    service          through-    queue     response   compl
name           disc      time    util.     put       length      time     count
--------------------------------------------------------------------------------
rSwitch0     fcfs       0.05000  0.647   12.94105    1.03855    0.08025    47858
   > server  0          0.05000  0.048    0.95913                           3547
   > server  1          0.05000  0.044    0.88639                           3278
   > server  2          0.05000  0.042    0.84231                           3115
   > server  3          0.05000  0.040    0.80446                           2975
   > server  4          0.05000  0.039    0.77552                           2868
   > server  5          0.05000  0.037    0.74875                           2769
   > server  6          0.05000  0.036    0.71820                           2656
   > server  7          0.05000  0.035    0.69034                           2553
   > server  8          0.05000  0.033    0.66087                           2444
   > server  9          0.05000  0.032    0.63572                           2351
   > server 10          0.05000  0.030    0.60976                           2255
   > server 11          0.05000  0.029    0.58678                           2170
   > server 12          0.05000  0.028    0.56731                           2098
   > server 13          0.05000  0.028    0.55109                           2038
   > server 14          0.05000  0.027    0.53243                           1969
   > server 15          0.05000  0.026    0.51053                           1888
   > server 16          0.05000  0.025    0.49241                           1821
   > server 17          0.05000  0.024    0.47510                           1757
   > server 18          0.05000  0.023    0.45671                           1689
   > server 19          0.05000  0.022    0.43725                           1617
rSwitch1     fcfs       0.05000  0.207    4.14856    0.28272    0.06815    15342
   > server  0          0.05000  0.026    0.52648                           1947
   > server  1          0.05000  0.019    0.38911                           1439
   > server  2          0.05000  0.016    0.32205                           1191
   > server  3          0.05000  0.014    0.28311                           1047
   > server  4          0.05000  0.013    0.25553                            945
   > server  5          0.05000  0.011    0.22876                            846
   > server  6          0.05000  0.011    0.21119                            781
   > server  7          0.05000  0.010    0.20010                            740
   > server  8          0.05000  0.010    0.19009                            703
   > server  9          0.05000  0.009    0.17982                            665
   > server 10          0.05000  0.008    0.16954                            627
   > server 11          0.05000  0.008    0.16197                            599
   > server 12          0.05000  0.008    0.15359                            568
   > server 13          0.05000  0.007    0.14683                            543
   > server 14          0.05000  0.007    0.13872                            513
   > server 15          0.05000  0.007    0.13169                            487
   > server 16          0.05000  0.006    0.12601                            466
   > server 17          0.05000  0.006    0.11736                            434
   > server 18          0.05000  0.006    0.11141                            412
