clock,kW,total_kW,kW_npg,total_kW_npg,node,rack
60,0.071933,0.071933,0.004004,0.004004,400,20
120,0.072072,0.144005,0.004004,0.008008,400,20
180,0.072072,0.216077,0.004004,0.012012,400,20
240,0.072072,0.288149,0.004004,0.016016,400,20
300,0.072072,0.360222,0.004004,0.020020,400,20
360,0.072072,0.432294,0.004004,0.024024,400,20
420,0.072072,0.504366,0.004004,0.028028,400,20
480,0.072072,0.576438,0.004004,0.032032,400,20
540,0.072072,0.648510,0.004004,0.036036,400,20
600,0.072072,0.720582,0.004004,0.040040,400,20
660,0.072072,0.792654,0.004004,0.044044,400,20
720,0.072072,0.864726,0.004004,0.048048,400,20
780,0.072072,0.936798,0.004004,0.052052,400,20
840,0.072072,1.008870,0.004004,0.056056,400,20
900,0.072072,1.080942,0.004004,0.060060,400,20
960,0.072072,1.153014,0.004004,0.064064,400,20
1020,0.072072,1.225086,0.004004,0.068068,400,20
1080,0.072057,1.297143,0.004004,0.072072,400,20
1140,0.072057,1.369200,0.004004,0.076076,400,20
1200,0.072057,1.441256,0.004004,0.080080,400,20
1260,0.072041,1.513297,0.004004,0.084084,400,20
1320,0.072026,1.585323,0.004004,0.088088,400,20
1380,0.072026,1.657349,0.004004,0.092092,400,20
1440,0.072072,1.729421,0.004004,0.096096,400,20
1500,0.072072,1.801493,0.004004,0.100100,400,20
1560,0.072072,1.873565,0.004004,0.104104,400,20
1620,0.072072,1.945637,0.004004,0.108108,400,20
1680,0.072072,2.017709,0.004004,0.112112,400,20
1740,0.072072,2.089781,0.004004,0.116116,400,20
1800,0.072057,2.161838,0.004004,0.120120,400,20
1860,0.072072,2.233910,0.004004,0.124124,400,20
1920,0.072072,2.305982,0.004004,0.128128,400,20
1980,0.072072,2.378054,0.004004,0.132132,400,20
2040,0.072072,2.450126,0.004004,0.136136,400,20
2100,0.072072,2.522198,0.004004,0.140140,400,20
2160,0.072072,2.594271,0.004004,0.144144,400,20
2220,0.072072,2.666343,0.004004,0.148148,400,20
2280,0.072072,2.738415,0.004004,0.152152,400,20
2340,0.072072,2.810487,0.004004,0.156156,400,20
2400,0.072072,2.882559,0.004004,0.160160,400,20
2460,0.072072,2.954631,0.004004,0.164164,400,20
2520,0.072072,3.026703,0.004004,0.168168,400,20
2580,0.072057,3.098760,0.004004,0.172172,400,20
2640,0.072072,3.170832,0.004004,0.176176,400,20
2700,0.072057,3.242888,0.004004,0.180180,400,20
2760,0.072057,3.314945,0.004004,0.184184,400,20
2820,0.072072,3.387017,0.004004,0.188188,400,20
2880,0.072072,3.459089,0.004004,0.192192,400,20
2940,0.072072,3.531161,0.004004,0.196196,400,20
3000,0.072072,3.603233,0.004004,0.200200,400,20
3060,0.072072,3.675305,0.004004,0.204204,400,20
3120,0.072072,3.747377,0.004004,0.208208,400,20
3180,0.072041,3.819419,0.004004,0.212212,400,20
3240,0.072072,3.891491,0.004004,0.216216,400,20
3300,0.072072,3.963563,0.004004,0.220220,400,20
3360,0.072072,4.035635,0.004004,0.224224,400,20
3420,0.072041,4.107676,0.004004,0.228228,400,20
3480,0.072026,4.179702,0.004004,0.232232,400,20
3540,0.072026,4.251728,0.004004,0.236236,400,20
