         C++/CSIM Simulation Report (Version 20.0 for MS Visual C/C++)

                           Tue Jan 12 15:05:31 2016


                     Ending simulation time:     38119.252
                     Elapsed simulation time:    38119.252
                     CPU time used (seconds):     1652.666


FACILITY SUMMARY 

facility     service    service          through-    queue     response   compl
name           disc      time    util.     put       length      time     count
--------------------------------------------------------------------------------
rSwitch0     fcfs      15.08946  7.397    0.49022   35.42265   72.25799    18687
   > server  0         14.69539  0.660    0.04489                           1711
   > server  1         15.21604  0.651    0.04276                           1630
   > server  2         14.77576  0.633    0.04284                           1633
   > server  3         15.28261  0.625    0.04087                           1558
   > server  4         15.18088  0.620    0.04087                           1558
   > server  5         15.63959  0.616    0.03940                           1502
   > server  6         15.45730  0.608    0.03935                           1500
   > server  7         15.07798  0.603    0.04001                           1525
   > server  8         15.09941  0.604    0.03998                           1524
   > server  9         14.93888  0.593    0.03966                           1512
   > server 10         14.57284  0.595    0.04082                           1556
   > server 11         15.21986  0.590    0.03877                           1478
rSwitch1     fcfs      15.15452  4.454    0.29389    9.01249   30.66585    11203
   > server  0         15.51281  0.535    0.03450                           1315
   > server  1         15.30821  0.471    0.03077                           1173
   > server  2         15.62449  0.423    0.02710                           1033
   > server  3         15.26881  0.390    0.02553                            973
   > server  4         15.41366  0.372    0.02416                            921
   > server  5         15.72338  0.355    0.02259                            861
   > server  6         15.10909  0.339    0.02243                            855
   > server  7         14.47576  0.326    0.02253                            859
   > server  8         14.83311  0.322    0.02170                            827
   > server  9         14.49144  0.314    0.02164                            825
   > server 10         14.74524  0.308    0.02086                            795
   > server 11         14.87192  0.299    0.02009                            766
rSwitch2     fcfs      14.82217  3.564    0.24046    6.06405   25.21895     9166
   > server  0         15.11851  0.505    0.03340                           1273
   > server  1         14.69960  0.421    0.02862                           1091
   > server  2         14.92020  0.362    0.02427                            925
   > server  3         14.81869  0.330    0.02230                            850
   > server  4         14.88484  0.301    0.02023                            771
   > server  5         14.20954  0.273    0.01923                            733
   > server  6         15.33685  0.260    0.01692                            645
   > server  7         15.03828  0.241    0.01603                            611
   > server  8         14.62548  0.233    0.01592                            607
   > server  9         14.95908  0.221    0.01480                            564
   > server 10         14.67346  0.212    0.01443                            550
   > server 11         14.32663  0.205    0.01432                            546
rSwitch3     fcfs      15.06054  3.243    0.21535    4.80854   22.32889     8209
