clock,kW,total_kW,kW_npg,total_kW_npg,node,rack,total_resp_t,resp_t_count,avg_resp_t,total_q_delay_t,q_delay_count,avg_q_delay,local_node,local_rack,local_remote,map_tasks,task_t,cpu_t,mem_t,disk_t,net_t,task_q_t,avg_m,active_cap,m/cap,req_m,req_node,budget hit,budget size,top k
1800,0.121622,0.121622,0.004004,0.004004,400,50,3361.300687,7,480.185812,52737.295520,7,7533.899360,0,0,0,10240,347.317081,300.000000,0.001071,0.518377,39.572044,7.225589,1478.099413,3200,0.461906,-763,-95,0,0,3
3600,0.144332,0.265953,0.026714,0.030718,469,59,5002.771227,11,454.797384,74366.409794,11,6760.582709,1565,39,434,11264,337.642850,300.000000,0.002162,0.305085,30.690902,6.643931,1973.176303,3756,0.525340,-114,-14,122,74,4
5400,0.151186,0.417140,0.033569,0.064287,497,63,7329.435631,16,458.089727,124845.053880,16,7802.815867,2478,116,938,17408,343.912215,300.000000,0.002532,0.252269,36.003017,7.653955,2630.833491,3980,0.661013,1225,153,284,26,4
7200,0.167372,0.584512,0.049755,0.114042,551,70,9581.828820,19,504.306780,773094.314437,19,40689.174444,3568,247,2442,29696,383.900761,300.000000,0.002567,0.196454,33.239995,50.461690,4225.740927,4408,0.958653,7662,957,343,67,8
9000,0.352853,0.937365,0.235235,0.349277,1164,150,39782.966167,39,1020.076056,6225689.301091,39,159633.059002,16457,992,11325,44032,494.433106,300.000000,0.002786,0.119043,52.721495,141.589495,9668.030265,9314,1.038011,11876,1484,5656,780,18
10800,0.352853,1.290218,0.235235,0.584512,1200,150,27041.537544,49,551.868113,1127921.460680,49,23018.805320,14536,1685,14590,43008,352.878016,300.000000,0.003097,0.076990,36.890163,15.907060,10020.056733,9600,1.043756,7252,906,5679,724,14
12600,0.352853,1.643071,0.235235,0.819747,1200,150,20225.065514,43,470.350361,203816.886018,43,4739.927582,14474,1275,13710,44032,336.993975,300.000000,0.003368,0.063160,32.369547,4.556982,8187.239035,9600,0.852837,6005,750,4778,566,8
14400,0.338896,1.981967,0.221279,1.041026,1159,145,18329.632516,39,469.990577,160115.525908,39,4105.526305,13898,1090,12481,38912,336.213763,300.000000,0.003546,0.051741,32.214983,3.942657,7876.424477,9276,0.849119,5587,698,3995,407,7
16200,0.324692,2.306659,0.207075,1.248101,1109,139,14887.438167,34,437.865828,120203.676111,34,3535.402239,13383,827,8404,32768,327.750314,300.000000,0.003646,0.048794,24.217227,3.479963,6727.158427,8875,0.757990,3824,478,4138,371,7
18000,0.260195,2.566854,0.142578,1.390678,905,115,12761.497297,29,440.051631,114993.966863,29,3965.309202,10280,556,6163,27648,329.039391,300.000000,0.003698,0.053848,25.095323,3.886032,5527.872913,7242,0.763307,2632,329,2577,294,5
19800,0.218161,2.785015,0.100543,1.491221,754,96,11041.822651,25,441.672906,146333.025807,25,5853.321032,6223,594,5609,25600,337.792840,300.000000,0.003704,0.084042,31.861593,5.843444,4974.638377,6035,0.824298,2572,321,1508,188,6
21600,0.218739,3.003754,0.101121,1.592342,741,93,11672.025404,27,432.297237,170559.404255,27,6317.014972,6842,575,5549,28672,336.831267,300.000000,0.003688,0.084659,30.571999,6.171096,5026.532241,5931,0.847502,2779,347,1504,184,5
23400,0.223033,3.226787,0.105415,1.697758,755,95,14537.856908,27,538.439145,631444.938807,27,23386.849585,5892,572,7661,31744,374.652262,300.000000,0.003681,0.093400,45.454718,29.100552,5768.303587,6046,0.954069,5443,680,782,114,9
25200,0.319902,3.546689,0.202285,1.900043,1062,136,19756.923176,40,493.923079,1423544.199264,40,35588.604982,13695,1307,9786,38912,355.928582,300.000000,0.003630,0.105133,25.883016,29.937283,7396.509069,8500,0.870178,5909,738,5733,929,10
27000,0.340796,3.887485,0.223178,2.123221,1149,145,17956.893685,42,427.545088,168638.927826,42,4015.212567,16741,1475,10737,44032,328.093257,300.000000,0.003632,0.070470,24.097235,3.921898,7637.190926,9199,0.830220,5623,702,8330,1046,9
28800,0.326839,4.214324,0.209222,2.332442,1113,140,17795.383143,40,444.884579,221512.411038,40,5537.810276,14332,1815,12316,43008,335.238416,300.000000,0.003652,0.059587,29.475461,5.699504,7909.089939,8911,0.887565,5908,738,5579,817,8
30600,0.336254,4.550578,0.218636,2.551079,1138,143,18601.495146,40,465.037379,192469.852320,40,4811.746308,15457,1410,11619,43008,334.051267,300.000000,0.003671,0.053140,29.547469,4.446766,8043.395619,9111,0.882822,5735,716,6208,801,8
32400,0.329482,4.880060,0.211864,2.762943,1121,140,17154.642746,38,451.437967,148455.108440,38,3906.713380,14859,1048,7727,29696,326.021998,300.000000,0.003675,0.043210,22.355832,3.619224,7248.492315,8973,0.807811,5755,719,4844,650,6
34200,0.329730,5.209790,0.212112,2.975055,1119,140,8002.036952,20,400.101848,48818.931886,20,2440.946594,11381,231,1587,18432,309.696611,300.000000,0.003668,0.043632,7.253478,2.396030,4268.150077,8955,0.476622,1184,148,3532,552,4
36000,0.167538,5.377327,0.049920,3.024975,615,84,5629.285576,13,433.021967,62652.883413,13,4819.452570,3953,95,1387,12288,327.383576,300.000000,0.003671,0.081394,22.591875,4.706497,2694.268430,4925,0.547060,-49,-6,14,23,4
