clock,kW,total_kW,kW_npg,total_kW_npg,node,rack,total_resp_t,resp_t_count,avg_resp_t,total_q_delay_t,q_delay_count,avg_q_delay,local_node,local_rack,local_remote,map_tasks
900,0.121622,0.121622,0.004004,0.004004,400,50,1412.598065,3,470.866022,7.117062,3,2.372354,674,78,3006,6144
1800,0.121622,0.243243,0.004004,0.008008,400,50,2878.929330,6,479.821555,15.155876,6,2.525979,989,178,4291,5120
2700,0.121622,0.364865,0.004004,0.012012,400,50,2202.433736,5,440.486747,11.999605,5,2.399921,1270,143,3975,5120
3600,0.121622,0.486486,0.004004,0.016016,400,50,2107.960682,5,421.592136,13.428513,5,2.685703,1094,206,3948,5120
4500,0.121622,0.608108,0.004004,0.020020,400,50,2137.673140,5,427.534628,11.789404,5,2.357881,1088,149,4488,6144
5400,0.121622,0.729730,0.004004,0.024024,400,50,2598.876214,6,433.146036,16.125410,6,2.687568,1035,110,3998,5120
6300,0.172492,0.902222,0.054875,0.078899,576,72,2791.123061,6,465.187177,203.410072,6,33.901679,1646,269,5591,10240
7200,0.172492,1.074715,0.054875,0.133774,576,72,5695.737212,11,517.794292,1314.210580,11,119.473689,2775,501,8705,11264
8100,0.172492,1.247207,0.054875,0.188649,576,72,5422.021246,11,492.911022,260.263529,11,23.660321,1939,294,8395,10240
9000,0.214114,1.461321,0.096496,0.285145,720,90,5030.748293,11,457.340754,60.936678,11,5.539698,2503,330,8132,11264
9900,0.190991,1.652312,0.073373,0.358519,640,80,5230.172854,11,475.470259,25.259642,11,2.296331,2472,317,7957,11264
10800,0.177117,1.829429,0.059499,0.418018,592,74,5014.954898,10,501.495490,44.907312,10,4.490731,2396,322,8291,10240
11700,0.209324,2.038754,0.091707,0.509725,702,88,4790.414869,11,435.492261,75.738807,11,6.885346,2196,276,8311,11264
12600,0.200240,2.238994,0.082623,0.592347,672,84,4728.524772,10,472.852477,14.435395,10,1.443539,2764,272,7697,11264
13500,0.172492,2.411486,0.054875,0.647222,576,72,5369.101329,11,488.100121,18.775108,11,1.706828,2705,305,8418,11264
14400,0.220053,2.631540,0.102436,0.749658,688,94,4725.028684,11,429.548062,96.294416,11,8.754038,2404,354,7832,10240
15300,0.212855,2.844394,0.095237,0.844895,704,90,4349.461695,10,434.946170,15.842215,10,1.584222,3093,389,7168,10240
16200,0.223281,3.067675,0.105663,0.950558,751,94,4726.256672,11,429.659697,17.841294,11,1.621936,2514,324,7963,11264
17100,0.224678,3.292353,0.107060,1.057618,704,96,4350.302362,10,435.030236,17.141430,10,1.714143,2688,324,6761,9216
18000,0.181742,3.474095,0.064124,1.121743,608,76,3467.343766,8,433.417971,10.336357,8,1.292045,2412,264,6471,8192
18900,0.197141,3.671236,0.079524,1.201266,627,84,3880.905050,9,431.211672,13.599276,9,1.511031,2061,383,6077,9216
19800,0.209489,3.880726,0.091872,1.293138,704,88,3882.371010,9,431.374557,13.235437,9,1.470604,2330,302,6551,9216
20700,0.186366,4.067092,0.068749,1.361887,624,78,4020.281983,9,446.697998,12.183885,9,1.353765,2555,308,6525,9216
21600,0.190506,4.257598,0.072888,1.434775,633,80,3434.542876,8,429.317860,12.739679,8,1.592460,2401,254,6144,9216
22500,0.212119,4.469716,0.094501,1.529276,608,92,4835.422411,10,483.542241,128.582321,10,12.858232,2118,259,8568,13312
23400,0.300227,4.769943,0.182609,1.711885,802,138,7676.440465,14,548.317176,1738.245396,14,124.160385,3835,691,9768,14336
24300,0.243658,5.013601,0.126040,1.837926,777,105,7060.406705,15,470.693780,353.698614,15,23.579908,3122,495,11396,14336
25200,0.223363,5.236965,0.105746,1.943671,752,94,6854.832170,15,456.988811,84.440804,15,5.629387,3578,428,10815,14336
26100,0.223363,5.460328,0.105746,2.049417,752,94,6345.111309,13,488.085485,94.201552,13,7.246273,2675,319,11140,15360
27000,0.223363,5.683691,0.105746,2.155163,752,94,6388.294558,12,532.357880,231.254315,12,19.271193,2807,378,11166,14336
27900,0.223363,5.907055,0.105746,2.260909,752,94,8215.259620,15,547.683975,307.533913,15,20.502261,2681,340,11370,13312
28800,0.223363,6.130418,0.105746,2.366654,752,94,8084.901669,15,538.993445,183.914113,15,12.260941,2857,388,11260,14336
29700,0.223363,6.353781,0.105746,2.472400,752,94,5380.887797,12,448.407316,97.168482,12,8.097374,3106,471,10340,14336
30600,0.223363,6.577145,0.105746,2.578146,752,94,8013.460110,14,572.390008,192.421650,14,13.744404,2890,454,10753,14336
31500,0.223363,6.800508,0.105746,2.683892,752,94,8185.636790,15,545.709119,181.047513,15,12.069834,2864,317,11164,14336
32400,0.223363,7.023872,0.105746,2.789637,752,94,7283.116382,15,485.541092,150.719218,15,10.047948,3033,364,11109,14336
33300,0.218739,7.242610,0.101121,2.890758,736,92,5194.426050,10,519.442605,171.261871,10,17.126187,2008,216,7294,6144
34200,0.145816,7.388426,0.028198,2.918957,464,61,2564.823511,6,427.470585,9.883197,6,1.647199,1333,196,3595,5120
35100,0.137808,7.526234,0.020190,2.939147,456,57,2193.392040,5,438.678408,10.985965,5,2.197193,1476,160,3685,5120
36000,0.171759,7.697993,0.054142,2.993288,566,72,2249.556550,5,449.911310,10.001814,5,2.000363,1280,235,3838,6144
36900,0.158619,7.856612,0.041001,3.034289,528,66,2111.002230,5,422.200446,8.312918,5,1.662584,1188,162,4320,5120
