         C++/CSIM Simulation Report (Version 20.0 for MS Visual C/C++)

                           Fri Mar  4 12:21:46 2016


                     Ending simulation time:     41701.362
                     Elapsed simulation time:    41701.362
                     CPU time used (seconds):     2271.898


FACILITY SUMMARY 

facility     service    service          through-    queue     response   compl
   > server  0         14.99535  0.478    0.03189                           1330
   > server  1         14.98642  0.409    0.02731                           1139
   > server  2         14.75279  0.351    0.02379                            992
   > server  3         14.69759  0.320    0.02175                            907
   > server  4         14.95886  0.303    0.02024                            844
   > server  5         14.82030  0.284    0.01918                            800
   > server  6         14.90580  0.277    0.01861                            776
   > server  7         15.98118  0.267    0.01674                            698
   > server  8         14.33982  0.254    0.01775                            740
   > server  9         14.97078  0.252    0.01681                            701
   > server 10         15.04557  0.241    0.01599                            667
   > server 11         14.40858  0.234    0.01621                            676
rSwitch4     fcfs      14.89601  3.092    0.20757    4.95026   23.84852     8656
   > server  0         14.81282  0.468    0.03161                           1318
   > server  1         14.93234  0.380    0.02547                           1062
   > server  2         14.86210  0.320    0.02153                            898
   > server  3         15.03531  0.275    0.01830                            763
   > server  4         14.51704  0.239    0.01645                            686
   > server  5         14.86712  0.225    0.01511                            630
   > server  6         14.69681  0.216    0.01468                            612
   > server  7         15.29734  0.209    0.01367                            570
   > server  8         15.64235  0.201    0.01283                            535
   > server  9         14.47105  0.194    0.01343                            560
   > server 10         14.67384  0.187    0.01273                            531
   > server 11         15.14693  0.178    0.01177                            491
rSwitch5     fcfs      14.91117  2.851    0.19122    4.24096   22.17881     7974
   > server  0         14.68811  0.455    0.03096                           1291
   > server  1         14.96901  0.358    0.02393                            998
   > server  2         15.16674  0.300    0.01981                            826
   > server  3         14.82283  0.247    0.01669                            696
   > server  4         14.30024  0.222    0.01549                            646
   > server  5         15.50979  0.209    0.01350                            563
   > server  6         15.12197  0.197    0.01302                            543
   > server  7         14.82284  0.184    0.01242                            518
   > server  8         14.78467  0.177    0.01194                            498
   > server  9         15.26900  0.172    0.01125                            469
   > server 10         15.47865  0.170    0.01098                            458
   > server 11         14.28041  0.160    0.01122                            468
rSwitch6     fcfs      15.00010  2.473    0.16486    3.48294   21.12629     6875
   > server  0         15.06421  0.457    0.03036                           1266
   > server  1         14.93946  0.342    0.02288                            954
   > server  2         14.52757  0.266    0.01832                            764
   > server  3         15.36331  0.223    0.01451                            605
   > server  4         14.99617  0.192    0.01283                            535
   > server  5         15.01311  0.177    0.01177                            491
   > server  6         14.84462  0.158    0.01065                            444
   > server  7         15.13795  0.148    0.00978                            408
   > server  8         15.49552  0.138    0.00892                            372
   > server  9         14.75788  0.127    0.00863                            360
   > server 10         15.37165  0.124    0.00806                            336
   > server 11         14.71937  0.120    0.00815                            340
rSwitch7     fcfs      14.73747  2.188    0.14844    2.95285   19.89300     6190
   > server  0         14.84735  0.437    0.02945                           1228
   > server  1         15.24409  0.337    0.02211                            922
   > server  2         14.50496  0.252    0.01736                            724
   > server  3         14.31190  0.197    0.01379                            575
   > server  4         15.54741  0.169    0.01089                            454
   > server  5         14.27144  0.143    0.01005                            419
   > server  6         14.32522  0.126    0.00880                            367
   > server  7         13.59807  0.114    0.00842                            351
   > server  8         15.40998  0.113    0.00736                            307
   > server  9         15.14943  0.106    0.00698                            291
   > server 10         14.36846  0.099    0.00688                            287
   > server 11         14.62193  0.093    0.00635                            265
rSwitch8     fcfs      15.13626  2.228    0.14721    2.88205   19.57735     6139
   > server  0         15.07382  0.461    0.03060                           1276
   > server  1         15.13571  0.352    0.02328                            971
   > server  2         15.24277  0.274    0.01796                            749
   > server  3         14.95342  0.215    0.01439                            600
   > server  4         15.76899  0.171    0.01084                            452
   > server  5         15.80880  0.141    0.00892                            372
   > server  6         14.51954  0.117    0.00806                            336
   > server  7         14.62227  0.114    0.00777                            324
   > server  8         14.54675  0.105    0.00722                            301
   > server  9         15.02809  0.098    0.00655                            273
   > server 10         15.23258  0.091    0.00600                            250
   > server 11         15.69198  0.088    0.00564                            235
rSwitch9     fcfs      14.99146  2.025    0.13510    2.39085   17.69641     5634
   > server  0         14.95234  0.450    0.03007                           1254
   > server  1         15.37880  0.345    0.02242                            935
   > server  2         15.11206  0.255    0.01691                            705
   > server  3         14.93809  0.189    0.01266                            528
   > server  4         15.35056  0.149    0.00974                            406
   > server  5         14.31860  0.126    0.00882                            368
   > server  6         14.53243  0.104    0.00717                            299
   > server  7         14.61499  0.094    0.00640                            267
   > server  8         16.11664  0.090    0.00561                            234
   > server  9         13.98267  0.077    0.00552                            230
   > server 10         14.98104  0.075    0.00499                            208
   > server 11         14.69423  0.070    0.00480                            200
rSwitch10    fcfs      14.94496  2.044    0.13678    2.43074   17.77088     5704
   > server  0         15.20385  0.459    0.03017                           1258
   > server  1         14.94623  0.329    0.02199                            917
   > server  2         14.44689  0.253    0.01753                            731
   > server  3         14.90801  0.197    0.01321                            551
   > server  4         15.49215  0.155    0.01002                            418
   > server  5         14.73168  0.129    0.00878                            366
   > server  6         15.01820  0.108    0.00719                            300
   > server  7         15.16598  0.097    0.00640                            267
   > server  8         14.14167  0.085    0.00600                            250
   > server  9         15.23764  0.084    0.00549                            229
   > server 10         15.08438  0.076    0.00506                            211
   > server 11         14.60676  0.072    0.00494                            206
rSwitch11    fcfs      14.80888  1.972    0.13319    2.35234   17.66218     5554
   > server  0         14.61531  0.463    0.03165                           1320
   > server  1         14.75587  0.324    0.02194                            915
   > server  2         14.64886  0.247    0.01688                            704
   > server  3         15.09869  0.188    0.01242                            518
   > server  4         14.85890  0.146    0.00981                            409
   > server  5         15.27894  0.120    0.00787                            328
   > server  6         15.05173  0.098    0.00652                            272
   > server  7         14.53758  0.090    0.00616                            257
   > server  8         14.45943  0.083    0.00571                            238
   > server  9         15.22827  0.076    0.00501                            209
   > server 10         14.84901  0.072    0.00487                            203
   > server 11         15.26728  0.066    0.00434                            181
rSwitch12    fcfs      15.05390  1.832    0.12172    2.03455   16.71468     5076
   > server  0         15.30772  0.468    0.03057                           1275
   > server  1         14.98929  0.347    0.02314                            965
   > server  2         15.11968  0.245    0.01623                            677
   > server  3         15.10817  0.172    0.01141                            476
   > server  4         15.22332  0.127    0.00835                            348
   > server  5         14.79326  0.098    0.00662                            276
   > server  6         15.02365  0.082    0.00547                            228
   > server  7         14.31052  0.068    0.00472                            197
   > server  8         14.52015  0.062    0.00424                            177
   > server  9         14.75298  0.057    0.00386                            161
   > server 10         14.37747  0.053    0.00372                            155
   > server 11         15.63884  0.053    0.00338                            141
rSwitch13    fcfs      15.04469  1.834    0.12191    2.04152   16.74548     5084
   > server  0         15.00192  0.467    0.03113                           1298
   > server  1         15.11562  0.338    0.02235                            932
   > server  2         15.31004  0.248    0.01621                            676
   > server  3         15.16528  0.181    0.01197                            499
   > server  4         15.05000  0.130    0.00863                            360
   > server  5         14.49484  0.096    0.00662                            276
   > server  6         16.04152  0.085    0.00530                            221
   > server  7         15.75843  0.071    0.00451                            188
   > server  8         13.69910  0.060    0.00436                            182
   > server  9         15.17422  0.060    0.00393                            164
   > server 10         14.24961  0.051    0.00357                            149
   > server 11         14.23424  0.047    0.00333                            139
rSwitch14    fcfs      14.98688  1.826    0.12184    2.07291   17.01306     5081
   > server  0         15.23483  0.475    0.03117                           1300
   > server  1         14.75132  0.342    0.02316                            966
   > server  2         15.11864  0.250    0.01652                            689
   > server  3         14.37771  0.171    0.01189                            496
   > server  4         15.07863  0.126    0.00837                            349
   > server  5         16.12962  0.101    0.00623                            260
   > server  6         13.32958  0.081    0.00607                            253
   > server  7         15.49451  0.068    0.00436                            182
   > server  8         15.85569  0.061    0.00384                            160
   > server  9         16.11457  0.058    0.00360                            150
   > server 10         14.09744  0.051    0.00362                            151
   > server 11         14.51077  0.043    0.00300                            125
rSwitch15    fcfs      14.82465  1.730    0.11671    1.92975   16.53449     4867
   > server  0         15.16869  0.486    0.03201                           1335
   > server  1         14.64849  0.344    0.02345                            978
   > server  2         14.61800  0.240    0.01645                            686
   > server  3         14.56005  0.164    0.01125                            469
   > server  4         14.96389  0.114    0.00765                            319
   > server  5         14.54377  0.086    0.00592                            247
   > server  6         14.86027  0.071    0.00475                            198
   > server  7         14.25907  0.061    0.00429                            179
   > server  8         15.41161  0.050    0.00326                            136
   > server  9         16.41975  0.043    0.00259                            108
   > server 10         13.29437  0.037    0.00281                            117
   > server 11         15.08728  0.034    0.00228                             95
rSwitch16    fcfs      15.02214  1.736    0.11556    1.85639   16.06437     4819
   > server  0         14.82812  0.480    0.03240                           1351
   > server  1         15.24771  0.344    0.02254                            940
   > server  2         15.52377  0.253    0.01628                            679
   > server  3         15.49159  0.173    0.01117                            466
   > server  4         15.25233  0.118    0.00775                            323
   > server  5         14.09547  0.088    0.00621                            259
   > server  6         14.11076  0.066    0.00468                            195
   > server  7         15.18185  0.054    0.00357                            149
   > server  8         13.63473  0.043    0.00319                            133
   > server  9         15.76042  0.040    0.00257                            107
   > server 10         14.59697  0.040    0.00273                            114
   > server 11         14.67526  0.036    0.00247                            103
rSwitch17    fcfs      15.05481  1.705    0.11326    1.81810   16.05274     4723
   > server  0         15.28288  0.476    0.03113                           1298
   > server  1         15.43945  0.347    0.02247                            937
   > server  2         14.45962  0.236    0.01631                            680
   > server  3         14.44084  0.159    0.01103                            460
   > server  4         15.04059  0.113    0.00753                            314
   > server  5         15.92677  0.084    0.00530                            221
   > server  6         14.79992  0.068    0.00463                            193
   > server  7         14.40871  0.054    0.00374                            156
   > server  8         15.21944  0.049    0.00321                            134
   > server  9         14.90091  0.042    0.00281                            117
   > server 10         14.07572  0.039    0.00276                            115
   > server 11         16.08556  0.038    0.00235                             98
rSwitch18    fcfs      14.89701  1.711    0.11486    1.79135   15.59539     4790
   > server  0         14.67240  0.473    0.03223                           1344
   > server  1         14.95439  0.350    0.02340                            976
   > server  2         14.86564  0.240    0.01614                            673
   > server  3         14.85022  0.162    0.01093                            456
   > server  4         15.47925  0.121    0.00779                            325
   > server  5         15.25175  0.088    0.00578                            241
   > server  6         14.13451  0.062    0.00436                            182
   > server  7         15.69619  0.055    0.00348                            145
   > server  8         14.33274  0.045    0.00312                            130
   > server  9         13.97553  0.042    0.00297                            124
   > server 10         15.55654  0.038    0.00247                            103
   > server 11         16.61347  0.036    0.00218                             91
rSwitch19    fcfs      14.97295  1.674    0.11177    1.77344   15.86677     4661
   > server  0         15.07533  0.455    0.03021                           1260
   > server  1         14.90215  0.336    0.02257                            941
   > server  2         15.08150  0.231    0.01530                            638
   > server  3         15.23576  0.165    0.01084                            452
   > server  4         14.82371  0.117    0.00789                            329
   > server  5         14.63518  0.091    0.00619                            258
   > server  6         14.25507  0.068    0.00480                            200
   > server  7         13.87179  0.052    0.00374                            156
   > server  8         15.50041  0.045    0.00288                            120
   > server  9         14.87770  0.044    0.00293                            122
   > server 10         15.55599  0.037    0.00235                             98
   > server 11         16.03483  0.033    0.00209                             87
rSwitch20    fcfs      15.07834  1.735    0.11508    1.84913   16.06816     4799
   > server  0         15.19840  0.490    0.03225                           1345
   > server  1         14.91693  0.359    0.02410                           1005
   > server  2         15.04609  0.252    0.01676                            699
   > server  3         15.36193  0.182    0.01182                            493
   > server  4         15.31869  0.116    0.00758                            316
   > server  5         14.48032  0.083    0.00573                            239
   > server  6         15.09409  0.060    0.00396                            165
   > server  7         15.60528  0.049    0.00314                            131
   > server  8         14.03161  0.045    0.00319                            133
   > server  9         14.22222  0.035    0.00247                            103
   > server 10         14.68414  0.033    0.00223                             93
   > server 11         16.93390  0.031    0.00185                             77
rSwitch21    fcfs      15.05648  1.731    0.11498    1.81553   15.78938     4795
   > server  0         15.00404  0.486    0.03237                           1350
   > server  1         15.33042  0.362    0.02362                            985
   > server  2         15.02934  0.248    0.01650                            688
   > server  3         13.78938  0.159    0.01153                            481
   > server  4         14.62127  0.114    0.00777                            324
   > server  5         16.32033  0.089    0.00547                            228
   > server  6         14.85690  0.067    0.00453                            189
   > server  7         15.17093  0.049    0.00321                            134
   > server  8         16.04270  0.045    0.00283                            118
   > server  9         15.42530  0.039    0.00252                            105
   > server 10         16.60142  0.039    0.00235                             98
   > server 11         15.03374  0.034    0.00228                             95
rSwitch22    fcfs      15.02362  1.737    0.11563    1.82400   15.77418     4822
   > server  0         15.53500  0.491    0.03163                           1319
   > server  1         14.60924  0.358    0.02448                           1021
   > server  2         14.55257  0.259    0.01779                            742
   > server  3         14.88582  0.174    0.01170                            488
   > server  4         14.94252  0.120    0.00803                            335
   > server  5         15.01783  0.082    0.00549                            229
   > server  6         15.17792  0.060    0.00393                            164
   > server  7         15.10063  0.047    0.00312                            130
   > server  8         15.20915  0.041    0.00271                            113
   > server  9         17.44737  0.037    0.00213                             89
   > server 10         14.04356  0.035    0.00247                            103
   > server 11         15.27941  0.033    0.00213                             89
rSwitch23    fcfs      14.91673  1.658    0.11117    1.72426   15.50993     4636
   > server  0         14.89265  0.472    0.03170                           1322
   > server  1         14.83742  0.347    0.02336                            974
   > server  2         14.85645  0.245    0.01652                            689
   > server  3         15.61555  0.165    0.01058                            441
   > server  4         14.53645  0.108    0.00746                            311
   > server  5         14.16013  0.081    0.00571                            238
   > server  6         15.38692  0.060    0.00388                            162
   > server  7         15.60667  0.048    0.00307                            128
   > server  8         14.01765  0.039    0.00278                            116
   > server  9         16.82156  0.035    0.00209                             87
   > server 10         14.50699  0.031    0.00213                             89
   > server 11         14.30058  0.027    0.00189                             79
rSwitch24    fcfs      14.76059  1.716    0.11626    1.79778   15.46406     4848
   > server  0         14.47780  0.494    0.03410                           1422
   > server  1         14.85345  0.359    0.02420                           1009
   > server  2         14.91765  0.251    0.01683                            702
   > server  3         14.77525  0.174    0.01180                            492
   > server  4         14.95329  0.118    0.00789                            329
   > server  5         14.80836  0.080    0.00542                            226
   > server  6         16.28472  0.061    0.00372                            155
   > server  7         14.91748  0.046    0.00307                            128
   > server  8         13.74397  0.041    0.00295                            123
   > server  9         14.23560  0.035    0.00245                            102
   > server 10         14.52896  0.030    0.00209                             87
   > server 11         15.57128  0.027    0.00175                             73
rSwitch25    fcfs      14.91391  1.681    0.11271    1.72921   15.34267     4700
   > server  0         14.50969  0.495    0.03412                           1423
   > server  1         14.77596  0.366    0.02475                           1032
   > server  2         14.97987  0.262    0.01751                            730
   > server  3         15.86368  0.177    0.01113                            464
   > server  4         15.18720  0.112    0.00736                            307
   > server  5         15.04179  0.072    0.00477                            199
   > server  6         16.35417  0.055    0.00336                            140
   > server  7         15.44391  0.044    0.00288                            120
   > server  8         13.93310  0.032    0.00228                             95
   > server  9         14.08754  0.026    0.00187                             78
   > server 10         14.70915  0.020    0.00139                             58
   > server 11         15.35187  0.020    0.00129                             54
rSwitch26    fcfs      14.97892  1.680    0.11218    1.74505   15.55596     4678
   > server  0         15.09524  0.490    0.03247                           1354
   > server  1         14.90651  0.359    0.02410                           1005
   > server  2         14.92158  0.244    0.01635                            682
   > server  3         14.31096  0.164    0.01144                            477
   > server  4         15.56423  0.110    0.00710                            296
   > server  5         15.07937  0.081    0.00540                            225
   > server  6         13.97357  0.061    0.00434                            181
   > server  7         15.77146  0.045    0.00288                            120
   > server  8         15.42215  0.036    0.00233                             97
   > server  9         14.62986  0.033    0.00228                             95
   > server 10         15.95822  0.031    0.00192                             80
   > server 11         16.12804  0.026    0.00158                             66
rSwitch27    fcfs      15.00331  1.765    0.11765    1.86918   15.88815     4906
   > server  0         15.25330  0.493    0.03235                           1349
   > server  1         15.06063  0.371    0.02463                           1027
   > server  2         14.87785  0.257    0.01729                            721
   > server  3         15.21684  0.177    0.01163                            485
   > server  4         15.08925  0.122    0.00808                            337
   > server  5         14.44908  0.077    0.00535                            223
   > server  6         13.55599  0.063    0.00463                            193
   > server  7         16.00634  0.056    0.00348                            145
   > server  8         14.06878  0.040    0.00288                            120
   > server  9         15.04131  0.040    0.00264                            110
   > server 10         13.91127  0.034    0.00247                            103
   > server 11         15.43060  0.034    0.00223                             93
rSwitch28    fcfs      15.18647  1.662    0.10947    1.70432   15.56902     4565
   > server  0         15.23635  0.495    0.03252                           1356
   > server  1         15.13333  0.365    0.02410                           1005
   > server  2         15.27680  0.258    0.01686                            703
   > server  3         15.12848  0.174    0.01153                            481
   > server  4         14.80307  0.108    0.00731                            305
   > server  5         14.14849  0.070    0.00496                            207
   > server  6         16.62682  0.054    0.00326                            136
   > server  7         15.99558  0.042    0.00261                            109
   > server  8         16.33580  0.029    0.00177                             74
   > server  9         16.07926  0.025    0.00156                             65
   > server 10         15.29287  0.023    0.00151                             63
   > server 11         12.69637  0.019    0.00146                             61
rSwitch29    fcfs      14.87937  1.701    0.11431    1.76544   15.44390     4767
   > server  0         14.85465  0.493    0.03316                           1383
   > server  1         14.57836  0.363    0.02492                           1039
   > server  2         14.97671  0.262    0.01748                            729
   > server  3         15.03239  0.173    0.01153                            481
   > server  4         15.51447  0.117    0.00753                            314
   > server  5         14.76403  0.076    0.00516                            215
   > server  6         14.49030  0.059    0.00405                            169
   > server  7         15.25488  0.044    0.00285                            119
   > server  8         15.73532  0.034    0.00216                             90
   > server  9         14.77589  0.032    0.00213                             89
   > server 10         14.44891  0.025    0.00175                             73
   > server 11         15.06710  0.024    0.00158                             66
rSwitch30    fcfs      15.03918  1.702    0.11319    1.78138   15.73856     4720
   > server  0         15.05488  0.507    0.03364                           1403
   > server  1         14.92261  0.375    0.02511                           1047
   > server  2         14.97884  0.269    0.01794                            748
   > server  3         14.73694  0.172    0.01168                            487
   > server  4         15.65290  0.112    0.00715                            298
   > server  5         15.52113  0.073    0.00468                            195
   > server  6         15.10792  0.050    0.00331                            138
   > server  7         16.12940  0.039    0.00240                            100
   > server  8         14.62211  0.030    0.00204                             85
   > server  9         13.56417  0.026    0.00192                             80
   > server 10         16.96742  0.028    0.00165                             69
   > server 11         13.85890  0.023    0.00168                             70
rSwitch31    fcfs      15.05166  1.587    0.10546    1.62830   15.43940     4398
   > server  0         14.97700  0.484    0.03230                           1347
   > server  1         15.03258  0.352    0.02343                            977
   > server  2         15.27148  0.233    0.01525                            636
   > server  3         14.34989  0.156    0.01084                            452
   > server  4         15.12852  0.103    0.00681                            284
   > server  5         15.80530  0.072    0.00456                            190
   > server  6         15.21532  0.051    0.00336                            140
   > server  7         14.97562  0.040    0.00266                            111
   > server  8         15.68620  0.030    0.00194                             81
   > server  9         16.14521  0.026    0.00161                             67
   > server 10         14.10176  0.020    0.00144                             60
   > server 11         15.98428  0.020    0.00127                             53
rSwitch32    fcfs      15.10262  1.682    0.11136    1.74550   15.67395     4644
   > server  0         14.91772  0.498    0.03340                           1393
   > server  1         15.24102  0.381    0.02499                           1042
   > server  2         15.22017  0.264    0.01734                            723
   > server  3         14.97839  0.167    0.01115                            465
   > server  4         15.28592  0.113    0.00736                            307
   > server  5         14.20968  0.066    0.00463                            193
   > server  6         15.10110  0.051    0.00341                            142
   > server  7         14.27122  0.037    0.00261                            109
   > server  8         16.12713  0.032    0.00197                             82
   > server  9         16.66466  0.028    0.00170                             71
   > server 10         16.16992  0.023    0.00141                             59
   > server 11         15.70879  0.022    0.00139                             58
rSwitch33    fcfs      14.99786  1.732    0.11549    1.80416   15.62206     4816
   > server  0         14.87393  0.496    0.03338                           1392
   > server  1         15.04787  0.376    0.02501                           1043
   > server  2         14.95312  0.271    0.01815                            757
   > server  3         14.59669  0.175    0.01199                            500
   > server  4         15.82834  0.122    0.00770                            321
   > server  5         14.56766  0.075    0.00516                            215
   > server  6         16.14146  0.058    0.00360                            150
   > server  7         16.07927  0.042    0.00264                            110
   > server  8         15.84514  0.035    0.00218                             91
   > server  9         13.93121  0.029    0.00209                             87
   > server 10         15.65365  0.026    0.00165                             69
   > server 11         13.27802  0.026    0.00194                             81
rSwitch34    fcfs      14.92340  1.647    0.11038    1.67678   15.19100     4603
   > server  0         14.86201  0.516    0.03470                           1447
   > server  1         15.47031  0.382    0.02470                           1030
   > server  2         14.29165  0.252    0.01763                            735
   > server  3         15.58964  0.173    0.01113                            464
   > server  4         14.44562  0.101    0.00703                            293
   > server  5         14.45916  0.064    0.00446                            186
   > server  6         14.65032  0.046    0.00314                            131
   > server  7         14.34144  0.035    0.00245                            102
   > server  8         12.79048  0.022    0.00173                             72
   > server  9         16.00255  0.020    0.00127                             53
   > server 10         16.79177  0.021    0.00122                             51
   > server 11         15.00735  0.014    0.00094                             39
rSwitch35    fcfs      14.95774  1.654    0.11055    1.69430   15.32636     4610
   > server  0         14.77394  0.501    0.03393                           1415
   > server  1         15.07387  0.381    0.02525                           1053
   > server  2         14.99709  0.260    0.01736                            724
   > server  3         14.82121  0.176    0.01187                            495
   > server  4         15.79066  0.115    0.00727                            303
   > server  5         14.74370  0.066    0.00446                            186
   > server  6         15.78004  0.048    0.00305                            127
   > server  7         14.29976  0.033    0.00233                             97
   > server  8         13.49453  0.021    0.00158                             66
   > server  9         14.34829  0.019    0.00134                             56
   > server 10         14.74144  0.018    0.00122                             51
   > server 11         16.72627  0.015    0.00089                             37
rSwitch36    fcfs      14.92703  1.655    0.11086    1.67316   15.09261     4623
   > server  0         15.24635  0.510    0.03348                           1396
   > server  1         14.71149  0.369    0.02508                           1046
   > server  2         14.91388  0.259    0.01734                            723
   > server  3         15.36586  0.179    0.01165                            486
   > server  4         14.44976  0.113    0.00784                            327
   > server  5         14.74004  0.069    0.00468                            195
   > server  6         14.05923  0.045    0.00317                            132
   > server  7         13.71348  0.033    0.00242                            101
   > server  8         14.82260  0.027    0.00180                             75
   > server  9         15.77099  0.020    0.00129                             54
   > server 10         15.31016  0.017    0.00110                             46
   > server 11         13.74179  0.014    0.00101                             42
rSwitch37    fcfs      15.15932  1.671    0.11021    1.69728   15.40008     4596
   > server  0         15.41721  0.523    0.03391                           1414
   > server  1         15.21380  0.389    0.02559                           1067
   > server  2         15.37976  0.273    0.01772                            739
   > server  3         15.14207  0.174    0.01149                            479
   > server  4         14.14832  0.109    0.00770                            321
   > server  5         13.94982  0.066    0.00472                            197
   > server  6         15.31088  0.044    0.00288                            120
   > server  7         14.76766  0.027    0.00180                             75
   > server  8         15.81915  0.022    0.00139                             58
   > server  9         15.01066  0.018    0.00118                             49
   > server 10         14.39800  0.015    0.00103                             43
   > server 11         15.10990  0.012    0.00082                             34
rSwitch38    fcfs      15.28467  1.671    0.10930    1.71175   15.66085     4558
   > server  0         15.22654  0.501    0.03288                           1371
   > server  1         15.26410  0.378    0.02477                           1033
   > server  2         15.31162  0.266    0.01739                            725
   > server  3         15.16165  0.174    0.01146                            478
   > server  4         15.39185  0.103    0.00669                            279
   > server  5         15.71434  0.069    0.00436                            182
   > server  6         15.39462  0.052    0.00336                            140
   > server  7         14.66656  0.038    0.00257                            107
   > server  8         16.20006  0.030    0.00185                             77
   > server  9         15.87889  0.027    0.00168                             70
   > server 10         14.51477  0.019    0.00129                             54
   > server 11         15.57886  0.016    0.00101                             42
rSwitch39    fcfs      14.99527  1.732    0.11549    1.77003   15.32654     4816
   > server  0         15.02126  0.517    0.03441                           1435
   > server  1         15.35010  0.400    0.02609                           1088
   > server  2         14.45359  0.270    0.01868                            779
   > server  3         15.07465  0.184    0.01221                            509
   > server  4         14.66177  0.115    0.00787                            328
   > server  5         15.97403  0.077    0.00484                            202
   > server  6         14.29714  0.044    0.00309                            129
   > server  7         15.37680  0.033    0.00213                             89
   > server  8         14.08642  0.026    0.00185                             77
   > server  9         15.41542  0.023    0.00146                             61
   > server 10         15.17633  0.022    0.00144                             60
   > server 11         14.30872  0.020    0.00141                             59
rSwitch40    fcfs      15.18476  1.666    0.10971    1.68917   15.39689     4575
   > server  0         15.19890  0.498    0.03276                           1366
   > server  1         14.97209  0.374    0.02496                           1041
   > server  2         15.33189  0.264    0.01722                            718
   > server  3         15.35443  0.178    0.01161                            484
   > server  4         15.48667  0.111    0.00719                            300
   > server  5         15.61358  0.074    0.00472                            197
   > server  6         15.18932  0.048    0.00319                            133
   > server  7         14.30131  0.032    0.00223                             93
   > server  8         15.12741  0.025    0.00168                             70
   > server  9         15.23070  0.023    0.00153                             64
   > server 10         14.21042  0.019    0.00137                             57
   > server 11         14.75065  0.018    0.00125                             52
rSwitch41    fcfs      14.99688  1.667    0.11115    1.70003   15.29527     4635
   > server  0         15.01876  0.506    0.03367                           1404
   > server  1         14.97104  0.371    0.02480                           1034
   > server  2         14.82729  0.255    0.01719                            717
   > server  3         15.27854  0.179    0.01170                            488
   > server  4         14.72863  0.108    0.00734                            306
   > server  5         14.68023  0.067    0.00456                            190
   > server  6         14.37501  0.049    0.00343                            143
   > server  7         15.18153  0.039    0.00254                            106
   > server  8         15.66046  0.029    0.00185                             77
   > server  9         15.46747  0.024    0.00153                             64
   > server 10         16.33772  0.023    0.00141                             59
   > server 11         15.66534  0.018    0.00113                             47
rSwitch42    fcfs      15.09759  1.652    0.10944    1.69256   15.46494     4564
   > server  0         15.03344  0.501    0.03336                           1391
   > server  1         14.94709  0.365    0.02444                           1019
   > server  2         15.17046  0.261    0.01722                            718
   > server  3         15.70685  0.177    0.01127                            470
   > server  4         15.01138  0.113    0.00753                            314
   > server  5         15.51698  0.074    0.00477                            199
