         C++/CSIM Simulation Report (Version 20.0 for MS Visual C/C++)

                           Fri Mar  4 12:21:46 2016


                     Ending simulation time:     41701.362
                     Elapsed simulation time:    41701.362
                     CPU time used (seconds):     2271.898


FACILITY SUMMARY 

facility     service    service          through-    queue     response   compl
name           disc      time    util.     put       length      time     count
--------------------------------------------------------------------------------
rSwitch0     fcfs      15.15732  3.079    0.20313    9.00461   44.32822     8471
   > server  0         15.16771  0.416    0.02743                           1144
   > server  1         15.13479  0.360    0.02381                            993
   > server  2         15.02592  0.322    0.02141                            893
   > server  3         15.00275  0.290    0.01935                            807
   > server  4         15.13696  0.276    0.01820                            759
   > server  5         15.49771  0.252    0.01628                            679
   > server  6         14.76788  0.230    0.01556                            649
   > server  7         15.37029  0.212    0.01381                            576
   > server  8         14.59628  0.198    0.01357                            566
   > server  9         15.37020  0.179    0.01168                            487
   > server 10         15.56651  0.176    0.01129                            471
   > server 11         15.57809  0.167    0.01072                            447
rSwitch1     fcfs      15.00090  4.807    0.32047   12.80224   39.94844    13364
   > server  0         15.21001  0.523    0.03436                           1433
   > server  1         14.71879  0.468    0.03180                           1326
   > server  2         15.33240  0.435    0.02839                           1184
   > server  3         14.96954  0.427    0.02851                           1189
   > server  4         14.93056  0.403    0.02698                           1125
   > server  5         14.79884  0.396    0.02679                           1117
   > server  6         15.25201  0.385    0.02523                           1052
   > server  7         14.86198  0.369    0.02482                           1035
   > server  8         14.81873  0.364    0.02456                           1024
   > server  9         15.15909  0.350    0.02312                            964
   > server 10         15.08479  0.348    0.02309                            963
   > server 11         14.85056  0.339    0.02283                            952
rSwitch2     fcfs      14.93665  4.730    0.31668   11.18899   35.33212    13206
   > server  0         14.77449  0.519    0.03513                           1465
   > server  1         14.77289  0.467    0.03161                           1318
   > server  2         14.97657  0.436    0.02909                           1213
   > server  3         15.10909  0.403    0.02669                           1113
   > server  4         14.76576  0.399    0.02700                           1126
   > server  5         15.45818  0.384    0.02484                           1036
   > server  6         14.96356  0.373    0.02494                           1040
   > server  7         14.46300  0.360    0.02492                           1039
   > server  8         15.15312  0.356    0.02348                            979
   > server  9         14.89425  0.351    0.02357                            983
   > server 10         14.91590  0.343    0.02297                            958
   > server 11         15.12779  0.340    0.02245                            936
rSwitch3     fcfs      14.90396  3.670    0.24627    6.33384   25.71858    10270
