clock,kW,total_kW,kW_npg,total_kW_npg,node,rack,total_resp_t,resp_t_count,avg_resp_t,total_q_delay_t,q_delay_count,avg_q_delay,local_node,local_rack,local_remote,map_tasks,task_t,cpu_t,mem_t,disk_t,net_t,task_q_t,avg_m,active_cap,m/cap,req_m,req_node,budget hit,budget size
1800,0.121622,0.121622,0.004004,0.004004,400,50,3369.422320,7,481.346046,53287.346581,7,7612.478083,0,0,0,9216,351.200712,300.000000,0.001165,0.528454,43.422884,7.248209,1445.460383,3200,0.451706,-841,-105,0,0
3600,0.135495,0.257117,0.017878,0.021882,444,55,4538.266179,10,453.826618,69597.967524,10,6959.796752,1234,24,148,11264,339.869957,300.000000,0.001980,0.290833,32.660192,6.916337,1777.836809,3559,0.499533,-126,-15,131,32
5400,0.139707,0.396824,0.022090,0.043971,459,58,6930.277302,14,495.019807,258793.543148,14,18485.253082,2064,49,418,22528,368.298674,300.000000,0.002418,0.224709,40.294582,27.776521,2789.754783,3672,0.759737,5728,716,22,34
7200,0.329399,0.726224,0.211782,0.255753,1079,140,29792.107911,41,726.636778,5034410.419392,41,122790.498034,14718,1113,10401,43008,450.980321,300.000000,0.002582,0.172216,36.340538,114.464853,8105.688195,8637,0.938484,10916,1364,5195,765
9000,0.352853,1.079077,0.235235,0.490988,1195,150,19710.124972,45,438.002777,373097.138503,45,8291.047522,15521,1834,12460,44032,332.893559,300.000000,0.002884,0.116124,25.969360,6.804658,9053.024828,9562,0.946771,5852,731,7112,1027
10800,0.341209,1.420285,0.223591,0.714580,1165,146,17960.999915,41,438.073169,181099.654134,41,4417.064735,16886,1713,11050,43008,328.333937,300.000000,0.003124,0.071549,23.938555,4.320043,7928.763537,9320,0.850726,5801,725,6458,959
12600,0.352853,1.773138,0.235235,0.949815,1197,150,17369.130008,40,434.228250,166999.762637,40,4174.994066,15862,1512,11996,43008,330.215337,300.000000,0.003321,0.053691,26.119120,4.038448,7924.243510,9581,0.827079,5862,732,6105,709
14400,0.334107,2.107245,0.216489,1.166304,1143,143,20933.501112,44,475.761389,209043.970294,44,4750.999325,14844,1883,12175,43008,335.522020,300.000000,0.003450,0.045363,30.741316,4.731265,7959.176841,9144,0.870426,5828,728,6068,709
16200,0.352853,2.460098,0.235235,1.401539,1196,150,19548.471526,43,454.615617,198223.426012,43,4609.847117,15653,1637,12281,43008,332.873584,300.000000,0.003565,0.043561,28.415365,4.410430,8036.682487,9570,0.839779,5768,721,6413,723
18000,0.345503,2.805601,0.227885,1.629424,1175,147,17659.713961,39,452.813178,140169.293666,39,3594.084453,16048,1415,9578,36864,329.088835,300.000000,0.003637,0.042472,25.556057,3.486128,7627.563936,9407,0.810839,5533,691,6181,721
19800,0.327005,3.132605,0.209387,1.838811,1114,140,12489.246527,30,416.308218,92831.879464,30,3094.395982,14986,667,5471,29696,319.274017,300.000000,0.003670,0.036043,16.158583,3.075358,6092.006490,8915,0.683343,3265,408,4872,624
21600,0.241284,3.373889,0.123666,1.962477,844,108,10649.155806,25,425.966232,109422.660182,25,4376.906407,9447,443,4354,23552,325.421111,300.000000,0.003692,0.050947,21.026029,4.340113,4823.315044,6759,0.713614,2331,291,2690,283
23400,0.206847,3.580736,0.089229,2.051707,708,90,11376.519014,24,474.021626,392525.251495,24,16355.218812,5588,574,5582,29696,353.363960,300.000000,0.003692,0.072302,34.848234,18.439745,4671.124311,5665,0.824559,4199,524,1257,179
25200,0.273986,3.854722,0.156369,2.208076,917,116,16094.525039,35,459.843573,885048.738141,35,25287.106804,9271,1204,9533,36864,353.583178,300.000000,0.003652,0.108646,30.166882,23.304452,6458.620001,7337,0.880281,5451,681,2880,539
27000,0.319985,4.174707,0.202367,2.410443,1077,136,18440.141180,42,439.050980,603489.710796,42,14368.802638,13408,2141,11979,43008,341.367525,300.000000,0.003623,0.082843,28.064994,13.216370,7753.889162,8622,0.899314,5996,749,6865,1028
28800,0.350128,4.524835,0.232510,2.642953,1181,149,17942.021478,42,427.190988,182883.730868,42,4354.374544,16774,2126,10744,44032,328.233589,300.000000,0.003618,0.074811,23.973682,4.181542,7971.169926,9449,0.843599,5602,700,9309,1320
30600,0.352853,4.877688,0.235235,2.878188,1199,150,18198.880529,43,423.229780,152976.279988,43,3557.587907,19391,1928,8925,43008,322.667658,300.000000,0.003622,0.059258,19.164855,3.439865,7831.612582,9594,0.816303,5544,693,9558,1217
32400,0.331547,5.209234,0.213929,3.092117,1136,142,17935.807748,42,427.043042,168719.522077,42,4017.131478,17418,2274,9772,43008,326.596988,300.000000,0.003627,0.046746,22.574913,3.971642,7765.883797,9090,0.854333,5655,706,8501,1053
34200,0.327005,5.536239,0.209387,3.301504,1111,140,17290.438898,41,421.718022,208108.891971,41,5075.826633,15165,2618,10725,43008,329.952478,300.000000,0.003622,0.052190,25.014006,4.882721,7907.070271,8892,0.889234,5766,720,7266,978
36000,0.336171,5.872410,0.218554,3.520058,1138,143,19892.767821,44,452.108360,214084.728601,44,4865.562014,14703,2400,12177,45056,334.555000,300.000000,0.003630,0.045912,29.674673,4.830665,8128.614777,9110,0.892274,5960,745,7679,1063
37800,0.352853,6.225263,0.235235,3.755293,1196,150,12872.901844,31,415.254898,94900.220630,31,3061.297440,15215,825,5323,23552,319.447487,300.000000,0.003633,0.048928,16.526595,2.868267,6985.428984,9572,0.729777,5659,707,6008,874
